?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q1063662>	"Malcolm Barclay-Harvey"@en			<http://www.wikidata.org/entity/Q6410461>	"Kincardine and Western Aberdeenshire"@en			"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"United Kingdom general election, 1935"@en	"1939-03-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
<http://www.wikidata.org/entity/Q1063662>	"Malcolm Barclay-Harvey"@en			<http://www.wikidata.org/entity/Q6410461>	"Kincardine and Western Aberdeenshire"@en			"1931-10-27T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918375>	"United Kingdom general election, 1931"@en	"1935-10-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1063662>	"Malcolm Barclay-Harvey"@en			<http://www.wikidata.org/entity/Q6410461>	"Kincardine and Western Aberdeenshire"@en			"1924-10-29T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2632991>	"United Kingdom general election, 1924"@en	"1929-05-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1063662>	"Malcolm Barclay-Harvey"@en			<http://www.wikidata.org/entity/Q6410461>	"Kincardine and Western Aberdeenshire"@en			"1923-12-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3084294>	"United Kingdom general election, 1923"@en	"1924-10-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11327314>	"Herbert Wragg"@en			<http://www.wikidata.org/entity/Q4884651>	"Belper"@en			"1923-12-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3084294>	"United Kingdom general election, 1923"@en	"1924-10-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11327314>	"Herbert Wragg"@en			<http://www.wikidata.org/entity/Q4884651>	"Belper"@en			"1931-10-27T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918375>	"United Kingdom general election, 1931"@en	"1935-10-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11327314>	"Herbert Wragg"@en			<http://www.wikidata.org/entity/Q4884651>	"Belper"@en			"1924-10-29T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2632991>	"United Kingdom general election, 1924"@en	"1929-05-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11327314>	"Herbert Wragg"@en			<http://www.wikidata.org/entity/Q4884651>	"Belper"@en			"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"United Kingdom general election, 1935"@en	"1945-06-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1170763>	"John Graham Kerr"@en			<http://www.wikidata.org/entity/Q5150880>	"Combined Scottish Universities"@en			"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"United Kingdom general election, 1935"@en	"1945-06-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1170763>	"John Graham Kerr"@en			<http://www.wikidata.org/entity/Q5150880>	"Combined Scottish Universities"@en			"1935-06-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7864918>	"UK Parliamentary by-election"@en	"1935-10-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
