?item	?term	?constituency	?party	?start	?election	?end	?cause
Q192	Q21084473	Q874194	Q9626	2015-05-08	Q3586935	2016-09-12	Q796919
Q14948811	Q21084473	Q874525	Q10658	2015-05-08	Q3586935	2017-05-03	Q741182
Q153454	Q21084473	Q3138286	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q153454	Q29974940	Q3138286	Q9630	2017-06-08	Q25052149		
Q16150309	Q21084473	Q987980	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q16150309	Q29974940	Q987980	Q9626	2017-06-08	Q25052149		
Q16190632	Q21084473	Q750690	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q16190632	Q29974940	Q750690	Q9630	2017-06-08	Q25052149		
Q16190712	Q21084473	Q988859	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q16190712	Q29974940	Q988859	Q9630	2017-06-08	Q25052149		
Q16211496	Q21084473	Q1053452	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q16211496	Q29974940	Q1053452	Q9626	2017-06-08	Q25052149		
Q16232474	Q21084473	Q3335626	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q16232474	Q29974940	Q3335626	Q9626	2017-06-08	Q25052149		
Q16529268	Q29974940	Q1050889	Q6467393	2017-06-08	Q25052149		
Q16732295	Q21084473	Q3301747	Q10658	2015-05-08	Q3586935	2015-11-24	Q30580660
Q16732295	Q21084473	Q3301747	Q327591	2015-11-24		2017-05-03	Q741182
Q16751766	Q21084473	Q1070042	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q16751766	Q29974940	Q1070042	Q9626	2017-06-08	Q25052149		
Q1681420	Q29974940	Q3238840	Q9624	2017-06-08	Q25052149		
Q16934040	Q21084473	Q1051029	Q10658	2015-05-08	Q3586935	2017-05-03	Q741182
Q16972528	Q21084473	Q3231676	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q16972528	Q29974940	Q3231676	Q9626	2017-06-08	Q25052149		
Q16980037	Q29974940	Q1051515	Q9626	2017-06-08	Q25052149		
Q1700778	Q29974940	Q3134016	Q9626	2017-06-08	Q25052149		
Q17057181	Q21084473	Q578636	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q17057181	Q29974940	Q578636	Q9630	2017-06-08	Q25052149		
Q17180679	Q21084473	Q1053027	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q17180679	Q29974940	Q1053027	Q9626	2017-06-08	Q25052149		
Q17306267	Q21084473	Q1050950	Q9630	2015-12-04	Q21287665	2017-05-03	Q741182
Q17306267	Q29974940	Q1050950	Q6467393	2017-06-08	Q25052149		
Q180589	Q21084473	Q751466	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q180589	Q29974940	Q751466	Q9626	2017-06-08	Q25052149		
Q18164278	Q21084473	Q751233	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q18164278	Q29974940	Q751233	Q9630	2017-06-08	Q25052149		
Q18211142	Q21084473	Q3302282	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q18211142	Q29974940	Q3302282	Q9630	2017-06-08	Q25052149		
Q18921442	Q21084473	Q1031947	Q10658	2015-05-08	Q3586935	2017-05-03	Q741182
Q18921442	Q29974940	Q1031947	Q10658	2017-06-08	Q25052149		
Q189947	Q21084473	Q1031731	Q9624	2015-05-08	Q3586935	2017-05-03	Q741182
Q19059345	Q21084473	Q3301862	Q10658	2015-05-08	Q3586935	2017-05-03	Q741182
Q19059345	Q29974940	Q3301862	Q10658	2017-06-08	Q25052149		
Q19059607	Q21084473	Q3238840	Q10658	2015-05-08	Q3586935	2017-05-03	Q741182
Q19586268	Q21084473	Q988278	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q19586268	Q29974940	Q988278	Q9630	2017-06-08	Q25052149		
Q197894	Q21084473	Q1052248	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q197894	Q29974940	Q1052248	Q9626	2017-06-08	Q25052149		
Q19863151	Q21084473	Q253159	Q10658	2015-05-08	Q3586935	2017-05-03	Q741182
Q19863151	Q29974940	Q253159	Q10658	2017-06-08	Q25052149		
Q19865337	Q21084473	Q3138167	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q19868483	Q21084473	Q3337210	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q19868483	Q29974940	Q3337210	Q9626	2017-06-08	Q25052149		
Q19868554	Q21084473	Q299984	Q10658	2015-05-08	Q3586935	2017-05-03	Q741182
Q19868554	Q29974940	Q299984	Q10658	2017-06-08	Q25052149		
Q19868633	Q21084473	Q3231892	Q10691	2015-05-08	Q3586935	2017-05-03	Q741182
Q19868633	Q29974940	Q3231892	Q10691	2017-06-08	Q25052149		
Q19870689	Q21084473	Q988645	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q19870689	Q29974940	Q988645	Q9626	2017-06-08	Q25052149		
Q19870758	Q21084473	Q3337618	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q19870873	Q21084473	Q3342877	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q19870873	Q29974940	Q3342877	Q9626	2017-06-08	Q25052149		
Q19871637	Q21084473	Q3138439	Q10658	2015-05-08	Q3586935	2017-05-03	Q741182
Q19871637	Q29974940	Q3138439	Q10658	2017-06-08	Q25052149		
Q19871710	Q21084473	Q1075461	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q19871710	Q29974940	Q1075461	Q9630	2017-06-08	Q25052149		
Q19871785	Q21084473	Q1077806	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q19871785	Q29974940	Q1077806	Q9630	2017-06-08	Q25052149		
Q19871819	Q21084473	Q3337694	Q10658	2015-05-08	Q3586935	2017-05-03	Q741182
Q19871819	Q29974940	Q3337694	Q10658	2017-06-08	Q25052149		
Q19871931	Q21084473	Q3337022	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q19871931	Q29974940	Q3337022	Q9630	2017-06-08	Q25052149		
Q19872133	Q21084473	Q1072621	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q19872133	Q29974940	Q1072621	Q9626	2017-06-08	Q25052149		
Q19872266	Q21084473	Q3235145	Q9630	2015-05-08	Q3586935	2017-05-03	Q741182
Q19872266	Q29974940	Q3235145	Q9630	2017-06-08	Q25052149		
Q19872361	Q21084473	Q3133894	Q9630	2015-05-08	Q3586935	2016-06-16	Q5247364
Q19872694	Q21084473	Q3138621	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q19872694	Q29974940	Q3138621	Q9626	2017-06-08	Q25052149		
Q19872756	Q21084473	Q1032433	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q19873325	Q21084473	Q875454	Q9626	2015-05-08	Q3586935	2017-05-03	Q741182
Q19873325	Q29974940	Q875454	Q9626	2017-06-08	Q25052149		
