?item	?term	?constituency	?party	?start	?election	?end	?cause
Q153454	Q29974940	Q3138286	Q9630	2017-06-08	Q25052149		
Q16150309	Q29974940	Q987980	Q9626	2017-06-08	Q25052149		
Q16190632	Q29974940	Q750690	Q9630	2017-06-08	Q25052149		
Q16190712	Q29974940	Q988859	Q9630	2017-06-08	Q25052149		
Q16211496	Q29974940	Q1053452	Q9626	2017-06-08	Q25052149		
Q16232474	Q29974940	Q3335626	Q9626	2017-06-08	Q25052149		
Q16529268	Q29974940	Q1050889	Q6467393	2017-06-08	Q25052149		
Q16751766	Q29974940	Q1070042	Q9626	2017-06-08	Q25052149		
Q1681420	Q29974940	Q3238840	Q9624	2017-06-08	Q25052149		
Q16972528	Q29974940	Q3231676	Q9626	2017-06-08	Q25052149		
Q16980037	Q29974940	Q1051515	Q9626	2017-06-08	Q25052149		
Q1700778	Q29974940	Q3134016	Q9626	2017-06-08	Q25052149		
Q17057181	Q29974940	Q578636	Q9630	2017-06-08	Q25052149		
Q17180679	Q29974940	Q1053027	Q9626	2017-06-08	Q25052149		
Q17306267	Q29974940	Q1050950	Q6467393	2017-06-08	Q25052149		
Q180589	Q29974940	Q751466	Q9626	2017-06-08	Q25052149		
Q18164278	Q29974940	Q751233	Q9630	2017-06-08	Q25052149		
Q18211142	Q29974940	Q3302282	Q9630	2017-06-08	Q25052149		
Q18921442	Q29974940	Q1031947	Q10658	2017-06-08	Q25052149		
Q19059345	Q29974940	Q3301862	Q10658	2017-06-08	Q25052149		
Q19586268	Q29974940	Q988278	Q9630	2017-06-08	Q25052149		
Q197894	Q29974940	Q1052248	Q9626	2017-06-08	Q25052149		
Q19863151	Q29974940	Q253159	Q10658	2017-06-08	Q25052149		
Q19868483	Q29974940	Q3337210	Q9626	2017-06-08	Q25052149		
Q19868554	Q29974940	Q299984	Q10658	2017-06-08	Q25052149		
Q19868633	Q29974940	Q3231892	Q10691	2017-06-08	Q25052149		
Q19870689	Q29974940	Q988645	Q9626	2017-06-08	Q25052149		
Q19870873	Q29974940	Q3342877	Q9626	2017-06-08	Q25052149		
Q19871637	Q29974940	Q3138439	Q10658	2017-06-08	Q25052149		
Q19871710	Q29974940	Q1075461	Q9630	2017-06-08	Q25052149		
Q19871785	Q29974940	Q1077806	Q9630	2017-06-08	Q25052149		
Q19871819	Q29974940	Q3337694	Q10658	2017-06-08	Q25052149		
Q19871931	Q29974940	Q3337022	Q9630	2017-06-08	Q25052149		
Q19872133	Q29974940	Q1072621	Q9626	2017-06-08	Q25052149		
Q19872266	Q29974940	Q3235145	Q9630	2017-06-08	Q25052149		
Q19872694	Q29974940	Q3138621	Q9626	2017-06-08	Q25052149		
Q19873325	Q29974940	Q875454	Q9626	2017-06-08	Q25052149		
Q19873418	Q29974940	Q750677	Q9626	2017-06-08	Q25052149		
Q19874017	Q29974940	Q3335993	Q9630	2017-06-08	Q25052149		
Q19874021	Q29974940	Q873994	Q9630	2017-06-08	Q25052149		
Q19874280	Q29974940	Q1077481	Q9630	2017-06-08	Q25052149		
Q19874405	Q29974940	Q3238991	Q10658	2017-06-08	Q25052149		
Q19874642	Q29974940	Q1053274	Q9626	2017-06-08	Q25052149		
Q19875413	Q29974940	Q1032281	Q10658	2017-06-08	Q25052149		
Q19875589	Q29974940	Q3301821	Q10658	2017-06-08	Q25052149		
Q19878984	Q29974940	Q750994	Q10658	2017-06-08	Q25052149		
Q19880278	Q29974940	Q661360	Q10658	2017-06-08	Q25052149		
Q19881816	Q29974940	Q1053259	Q10658	2017-06-08	Q25052149		
Q19882420	Q29974940	Q1070116	Q10658	2017-06-08	Q25052149		
Q19882482	Q29974940	Q586663	Q10658	2017-06-08	Q25052149		
Q19882661	Q29974940	Q3138350	Q10658	2017-06-08	Q25052149		
Q19882694	Q29974940	Q581626	Q10658	2017-06-08	Q25052149		
Q19882721	Q29974940	Q3301886	Q10658	2017-06-08	Q25052149		
Q19882771	Q29974940	Q1070123	Q10658	2017-06-08	Q25052149		
Q19882845	Q29974940	Q1075417	Q9630	2017-06-08	Q25052149		
Q19882875	Q29974940	Q1072698	Q9630	2017-06-08	Q25052149		
Q19882922	Q29974940	Q1032300	Q10658	2017-06-08	Q25052149		
Q19882967	Q29974940	Q3138417	Q10658	2017-06-08	Q25052149		
Q19883025	Q29974940	Q3302325	Q10658	2017-06-08	Q25052149		
Q19883053	Q29974940	Q3336217	Q10658	2017-06-08	Q25052149		
Q19883087	Q29974940	Q3336133	Q10658	2017-06-08	Q25052149		
Q19883117	Q29974940	Q3343077	Q10658	2017-06-08	Q25052149		
Q19883132	Q29974940	Q1032569	Q10658	2017-06-08	Q25052149		
Q19883135	Q29974940	Q3301764	Q10658	2017-06-08	Q25052149		
Q19883145	Q29974940	Q1050788	Q10658	2017-06-08	Q25052149		
Q19883251	Q29974940	Q3231723	Q10658	2017-06-08	Q25052149		
Q19883288	Q29974940	Q1070130	Q10658	2017-06-08	Q25052149		
Q19917814	Q29974940	Q581792	Q9626	2017-06-08	Q25052149		
Q19930597	Q29974940	Q3336228	Q9630	2017-06-08	Q25052149		
Q19938322	Q29974940	Q1077545	Q9626	2017-06-08	Q25052149		
Q19938362	Q29974940	Q3336909	Q9626	2017-06-08	Q25052149		
Q19946187	Q29974940	Q1075944	Q9626	2017-06-08	Q25052149		
Q19956787	Q29974940	Q988848	Q9626	2017-06-08	Q25052149		
Q19956815	Q29974940	Q1070328	Q9626	2017-06-08	Q25052149		
Q19956858	Q29974940	Q3239188	Q9626	2017-06-08	Q25052149		
Q19957124	Q29974940	Q988954	Q9626	2017-06-08	Q25052149		
Q19957144	Q29974940	Q3133970	Q9630	2017-06-08	Q25052149		
Q19957188	Q29974940	Q3137827	Q9630	2017-06-08	Q25052149		
Q19957299	Q29974940	Q1077422	Q9626	2017-06-08	Q25052149		
Q19957306	Q29974940	Q3337598	Q9626	2017-06-08	Q25052149		
Q19957580	Q29974940	Q988556	Q9626	2017-06-08	Q25052149		
Q19957586	Q29974940	Q1080341	Q9630	2017-06-08	Q25052149		
Q19957590	Q29974940	Q1072635	Q9626	2017-06-08	Q25052149		
Q19957769	Q29974940	Q1080418	Q9626	2017-06-08	Q25052149		
Q19957790	Q29974940	Q1075422	Q9630	2017-06-08	Q25052149		
Q19957802	Q29974940	Q597358	Q9630	2017-06-08	Q25052149		
Q19957811	Q29974940	Q988740	Q9626	2017-06-08	Q25052149		
Q19957887	Q29974940	Q874714	Q9626	2017-06-08	Q25052149		
Q19957945	Q29974940	Q1070064	Q9626	2017-06-08	Q25052149		
Q19957949	Q29974940	Q767602	Q9630	2017-06-08	Q25052149		
Q19957992	Q29974940	Q1031720	Q9630	2017-06-08	Q25052149		
Q19957996	Q29974940	Q987884	Q9626	2017-06-08	Q25052149		
Q19958026	Q29974940	Q988081	Q9630	2017-06-08	Q25052149		
