?item	?itemLabel	?termLabel	?constituencyLabel	?partyLabel	?start	?electionLabel	?end	?causeLabel
Q153454	Diane Abbott	57th United Kingdom Parliament	Hackney North and Stoke Newington	Labour Party	2017-06-08	United Kingdom general election, 2017		
Q16150309	Lucy Allan	57th United Kingdom Parliament	Telford	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q16190632	Mike Kane	57th United Kingdom Parliament	Wythenshawe and Sale East	Labour Party	2017-06-08	United Kingdom general election, 2017		
Q16190712	Emma Lewell-Buck	57th United Kingdom Parliament	South Shields	Labour Party	2017-06-08	United Kingdom general election, 2017		
Q16211496	Nigel Huddleston	57th United Kingdom Parliament	Mid Worcestershire	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q16232474	Tom Pursglove	57th United Kingdom Parliament	Corby	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q16529268	Anneliese Dodds	57th United Kingdom Parliament	Oxford East	Labour Co-operative	2017-06-08	United Kingdom general election, 2017		
Q16751766	Will Quince	57th United Kingdom Parliament	Colchester	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q1681420	Jamie Stone	57th United Kingdom Parliament	Caithness, Sutherland and Easter Ross	Liberal Democrats	2017-06-08	United Kingdom general election, 2017		
Q16972528	Chris Philp	57th United Kingdom Parliament	Croydon South	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q16980037	Andrew Lewer	57th United Kingdom Parliament	Northampton South	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q1700778	John Lamont	57th United Kingdom Parliament	Berwickshire, Roxburgh and Selkirk	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q17057181	Karin Smyth	57th United Kingdom Parliament	Bristol South	Labour Party	2017-06-08	United Kingdom general election, 2017		
Q17180679	Robert Jenrick	57th United Kingdom Parliament	Newark	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q17306267	Jim McMahon	57th United Kingdom Parliament	Oldham West and Royton	Labour Co-operative	2017-06-08	United Kingdom general election, 2017		
Q180589	Boris Johnson	57th United Kingdom Parliament	Uxbridge and South Ruislip	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q18164278	Angela Rayner	57th United Kingdom Parliament	Ashton-under-Lyne	Labour Party	2017-06-08	United Kingdom general election, 2017		
Q18211142	Liz McInnes	57th United Kingdom Parliament	Heywood and Middleton	Labour Party	2017-06-08	United Kingdom general election, 2017		
Q18921442	Ian Blackford	57th United Kingdom Parliament	Ross, Skye and Lochaber	Scottish National Party	2017-06-08	United Kingdom general election, 2017		
Q19059345	Chris Stephens	57th United Kingdom Parliament	Glasgow South West	Scottish National Party	2017-06-08	United Kingdom general election, 2017		
Q19586268	Ruth Smeeth	57th United Kingdom Parliament	Stoke-on-Trent North	Labour Party	2017-06-08	United Kingdom general election, 2017		
Q197894	Owen Paterson	57th United Kingdom Parliament	North Shropshire	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q19863151	Mhairi Black	57th United Kingdom Parliament	Paisley and Renfrewshire South	Scottish National Party	2017-06-08	United Kingdom general election, 2017		
Q19868483	Alan Mak	57th United Kingdom Parliament	Havant	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q19868554	Kirsty Blackman	57th United Kingdom Parliament	Aberdeen North	Scottish National Party	2017-06-08	United Kingdom general election, 2017		
Q19868633	Liz Saville Roberts	57th United Kingdom Parliament	Dwyfor Meirionnydd	Plaid Cymru	2017-06-08	United Kingdom general election, 2017		
Q19870689	Heidi Allen	57th United Kingdom Parliament	South Cambridgeshire	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q19870873	Ranil Jayawardena	57th United Kingdom Parliament	North East Hampshire	Conservative Party	2017-06-08	United Kingdom general election, 2017		
Q19871637	Deidre Brock	57th United Kingdom Parliament	Edinburgh North and Leith	Scottish National Party	2017-06-08	United Kingdom general election, 2017		
Q19871710	Richard Burgon	57th United Kingdom Parliament	Leeds East	Labour Party	2017-06-08	United Kingdom general election, 2017		
Q19871785	Ruth Cadbury	57th United Kingdom Parliament	Brentford and Isleworth	Labour Party	2017-06-08	United Kingdom general election, 2017		
Q19871819	Lisa Cameron	57th United Kingdom Parliament	East Kilbride, Strathaven and Lesmahagow	Scottish National Party	2017-06-08	United Kingdom general election, 2017		
Q19871931	Catherine West	57th United Kingdom Parliament	Hornsey and Wood Green	Labour Party	2017-06-08	United Kingdom general election, 2017		
