?item	?itemLabel	?termLabel	?constituencyLabel	?partyLabel	?start	?electionLabel	?end	?causeLabel
Q192	David Cameron	56th United Kingdom Parliament	Witney	Conservative Party	2015-05-08	United Kingdom general election, 2015	2016-09-12	resignation
Q14948811	John Nicolson	56th United Kingdom Parliament	East Dunbartonshire	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q153454	Diane Abbott	56th United Kingdom Parliament	Hackney North and Stoke Newington	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q16150309	Lucy Allan	56th United Kingdom Parliament	Telford	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q16190632	Mike Kane	56th United Kingdom Parliament	Wythenshawe and Sale East	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q16190712	Emma Lewell-Buck	56th United Kingdom Parliament	South Shields	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q16211496	Nigel Huddleston	56th United Kingdom Parliament	Mid Worcestershire	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q16232474	Tom Pursglove	56th United Kingdom Parliament	Corby	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q16732295	Natalie McGarry	56th United Kingdom Parliament	Glasgow East	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2015-11-24	leaving party
Q16732295	Natalie McGarry	56th United Kingdom Parliament	Glasgow East	independent politician	2015-11-24		2017-05-03	dissolution of parliament
Q16751766	Will Quince	56th United Kingdom Parliament	Colchester	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q16934040	Tasmina Ahmed-Sheikh	56th United Kingdom Parliament	Ochil and South Perthshire	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q16972528	Chris Philp	56th United Kingdom Parliament	Croydon South	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q17057181	Karin Smyth	56th United Kingdom Parliament	Bristol South	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q17180679	Robert Jenrick	56th United Kingdom Parliament	Newark	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q17306267	Jim McMahon	56th United Kingdom Parliament	Oldham West and Royton	Labour Party	2015-12-04	Oldham West and Royton by-election, 2015	2017-05-03	dissolution of parliament
Q180589	Boris Johnson	56th United Kingdom Parliament	Uxbridge and South Ruislip	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q18164278	Angela Rayner	56th United Kingdom Parliament	Ashton-under-Lyne	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q18211142	Liz McInnes	56th United Kingdom Parliament	Heywood and Middleton	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q18921442	Ian Blackford	56th United Kingdom Parliament	Ross, Skye and Lochaber	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q189947	Nick Clegg	56th United Kingdom Parliament	Sheffield Hallam	Liberal Democrats	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19059345	Chris Stephens	56th United Kingdom Parliament	Glasgow South West	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19059607	Paul Monaghan	56th United Kingdom Parliament	Caithness, Sutherland and Easter Ross	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19586268	Ruth Smeeth	56th United Kingdom Parliament	Stoke-on-Trent North	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q197894	Owen Paterson	56th United Kingdom Parliament	North Shropshire	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19863151	Mhairi Black	56th United Kingdom Parliament	Paisley and Renfrewshire South	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19865337	James Berry	56th United Kingdom Parliament	Kingston and Surbiton	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19868483	Alan Mak	56th United Kingdom Parliament	Havant	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19868554	Kirsty Blackman	56th United Kingdom Parliament	Aberdeen North	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19868633	Liz Saville Roberts	56th United Kingdom Parliament	Dwyfor Meirionnydd	Plaid Cymru	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19870689	Heidi Allen	56th United Kingdom Parliament	South Cambridgeshire	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19870758	Caroline Ansell	56th United Kingdom Parliament	Eastbourne	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19870873	Ranil Jayawardena	56th United Kingdom Parliament	North East Hampshire	Conservative Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19871637	Deidre Brock	56th United Kingdom Parliament	Edinburgh North and Leith	Scottish National Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
Q19871710	Richard Burgon	56th United Kingdom Parliament	Leeds East	Labour Party	2015-05-08	United Kingdom general election, 2015	2017-05-03	dissolution of parliament
