?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q1116655>	"Alex Maskey"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q4882329>	"Belfast South"@en	<http://www.wikidata.org/entity/Q76382>	"Sinn Féin"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2014-11-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
<http://www.wikidata.org/entity/Q1116655>	"Alex Maskey"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q4882350>	"Belfast West"@en	<http://www.wikidata.org/entity/Q76382>	"Sinn Féin"@en	"2014-11-04T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13586248>	"Máirtín Ó Muilleoir"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q4882329>	"Belfast South"@en	<http://www.wikidata.org/entity/Q76382>	"Sinn Féin"@en	"2014-11-04T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q15054230>	"Ian Milne"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q6841031>	"Mid Ulster"@en	<http://www.wikidata.org/entity/Q76382>	"Sinn Féin"@en	"2013-04-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q16195114>	"David Hilditch"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q5327714>	"East Antrim"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q16214843>	"Paul Frew"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q7053953>	"North Antrim"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q16239299>	"Willie Clarke"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q7567069>	"South Down"@en	<http://www.wikidata.org/entity/Q76382>	"Sinn Féin"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2012-04-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
<http://www.wikidata.org/entity/Q17017367>	"Claire Sugden"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q5328872>	"East Londonderry"@en	<http://www.wikidata.org/entity/Q327591>	"independent politician"@en	"2014-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q18358115>	"Maurice Devenney"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q5477379>	"Foyle"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2014-10-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2015-03-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
<http://www.wikidata.org/entity/Q1911383>	"Maurice Morrow, Baron Morrow"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q5444367>	"Fermanagh and South Tyrone"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
